"country","year","n_yamagata","n_victoria","year_total","fraction_yamagata","fraction_victoria"
"Japan",1970,1,0,1,1,0
"China",1970,NA,NA,NA,NA,NA
"Europe",1970,NA,NA,NA,NA,NA
"Australia",1970,NA,NA,NA,NA,NA
"New Zealand",1970,NA,NA,NA,NA,NA
"Japan",1971,NA,NA,NA,NA,NA
"China",1971,0,1,1,0,1
"Europe",1971,NA,NA,NA,NA,NA
"Australia",1971,NA,NA,NA,NA,NA
"New Zealand",1971,NA,NA,NA,NA,NA
"Japan",1972,NA,NA,NA,NA,NA
"China",1972,NA,NA,NA,NA,NA
"Europe",1972,NA,NA,NA,NA,NA
"Australia",1972,NA,NA,NA,NA,NA
"New Zealand",1972,NA,NA,NA,NA,NA
"Japan",1973,1,3,4,0.25,0.75
"China",1973,NA,NA,NA,NA,NA
"Europe",1973,NA,NA,NA,NA,NA
"Australia",1973,NA,NA,NA,NA,NA
"New Zealand",1973,NA,NA,NA,NA,NA
"Japan",1974,NA,NA,NA,NA,NA
"China",1974,0,1,1,0,1
"Europe",1974,NA,NA,NA,NA,NA
"Australia",1974,NA,NA,NA,NA,NA
"New Zealand",1974,NA,NA,NA,NA,NA
"Japan",1975,NA,NA,NA,NA,NA
"China",1975,0,2,2,0,1
"Europe",1975,NA,NA,NA,NA,NA
"Australia",1975,NA,NA,NA,NA,NA
"New Zealand",1975,NA,NA,NA,NA,NA
"Japan",1976,0,2,2,0,1
"China",1976,0,1,1,0,1
"Europe",1976,NA,NA,NA,NA,NA
"Australia",1976,NA,NA,NA,NA,NA
"New Zealand",1976,NA,NA,NA,NA,NA
"Japan",1977,NA,NA,NA,NA,NA
"China",1977,0,1,1,0,1
"Europe",1977,NA,NA,NA,NA,NA
"Australia",1977,NA,NA,NA,NA,NA
"New Zealand",1977,NA,NA,NA,NA,NA
"Japan",1978,NA,NA,NA,NA,NA
"China",1978,NA,NA,NA,NA,NA
"Europe",1978,NA,NA,NA,NA,NA
"Australia",1978,NA,NA,NA,NA,NA
"New Zealand",1978,NA,NA,NA,NA,NA
"Japan",1979,NA,NA,NA,NA,NA
"China",1979,0,1,1,0,1
"Europe",1979,NA,NA,NA,NA,NA
"Australia",1979,NA,NA,NA,NA,NA
"United States",1979,1,0,1,1,0
"New Zealand",1979,NA,NA,NA,NA,NA
"Japan",1980,NA,NA,NA,NA,NA
"China",1980,NA,NA,NA,NA,NA
"Europe",1980,NA,NA,NA,NA,NA
"Australia",1980,NA,NA,NA,NA,NA
NA,1980,NA,NA,NA,NA,NA
"New Zealand",1980,NA,NA,NA,NA,NA
"Japan",1981,2,0,2,1,0
"China",1981,2,1,3,0.666666666666667,0.333333333333333
"Europe",1981,NA,NA,NA,NA,NA
"Australia",1981,NA,NA,NA,NA,NA
NA,1981,NA,NA,NA,NA,NA
"New Zealand",1981,NA,NA,NA,NA,NA
"Japan",1982,2,0,2,1,0
"China",1982,0,1,1,0,1
"Europe",1982,NA,NA,NA,NA,NA
"Australia",1982,NA,NA,NA,NA,NA
NA,1982,NA,NA,NA,NA,NA
"New Zealand",1982,NA,NA,NA,NA,NA
"Japan",1983,NA,NA,NA,NA,NA
"China",1983,1,1,2,0.5,0.5
"Europe",1983,NA,NA,NA,NA,NA
"Australia",1983,NA,NA,NA,NA,NA
"United States",1983,1,0,1,1,0
"New Zealand",1983,NA,NA,NA,NA,NA
"Japan",1984,1,0,1,1,0
"China",1984,NA,NA,NA,NA,NA
"Europe",1984,0,2,2,0,1
"Australia",1984,NA,NA,NA,NA,NA
"United States",1984,0,1,1,0,1
"New Zealand",1984,NA,NA,NA,NA,NA
"Japan",1985,0,2,2,0,1
"China",1985,NA,NA,NA,NA,NA
"Europe",1985,1,0,1,1,0
"Australia",1985,0,1,1,0,1
"United States",1985,0,5,5,0,1
"New Zealand",1985,0,1,1,0,1
"Japan",1986,NA,NA,NA,NA,NA
"China",1986,0,2,2,0,1
"Europe",1986,0,1,1,0,1
"Australia",1986,NA,NA,NA,NA,NA
NA,1986,NA,NA,NA,NA,NA
"New Zealand",1986,NA,NA,NA,NA,NA
"Japan",1987,0,1,1,0,1
"China",1987,0,1,1,0,1
"Europe",1987,0,3,3,0,1
"Australia",1987,0,1,1,0,1
"United States",1987,0,3,3,0,1
"New Zealand",1987,0,1,1,0,1
"Japan",1988,2,1,3,0.666666666666667,0.333333333333333
"China",1988,1,0,1,1,0
"Europe",1988,0,1,1,0,1
"Australia",1988,NA,NA,NA,NA,NA
"United States",1988,1,2,3,0.333333333333333,0.666666666666667
"New Zealand",1988,NA,NA,NA,NA,NA
"Japan",1989,0,1,1,0,1
"China",1989,NA,NA,NA,NA,NA
"Europe",1989,0,27,27,0,1
"Australia",1989,0,1,1,0,1
"United States",1989,1,0,1,1,0
"New Zealand",1989,0,1,1,0,1
"Japan",1990,1,0,1,1,0
"China",1990,2,0,2,1,0
"Europe",1990,1,5,6,0.166666666666667,0.833333333333333
"Australia",1990,NA,NA,NA,NA,NA
"United States",1990,2,2,4,0.5,0.5
"New Zealand",1990,NA,NA,NA,NA,NA
"Japan",1991,1,0,1,1,0
"China",1991,5,0,5,1,0
"Europe",1991,NA,NA,NA,NA,NA
"Australia",1991,NA,NA,NA,NA,NA
"United States",1991,2,2,4,0.5,0.5
"New Zealand",1991,NA,NA,NA,NA,NA
"Japan",1992,1,1,2,0.5,0.5
"China",1992,7,2,9,0.777777777777778,0.222222222222222
"Europe",1992,1,3,4,0.25,0.75
"Australia",1992,NA,NA,NA,NA,NA
"United States",1992,5,5,10,0.5,0.5
"New Zealand",1992,NA,NA,NA,NA,NA
"Japan",1993,2,2,4,0.5,0.5
"China",1993,11,6,17,0.647058823529412,0.352941176470588
"Europe",1993,0,2,2,0,1
"Australia",1993,NA,NA,NA,NA,NA
"United States",1993,9,6,15,0.6,0.4
"New Zealand",1993,NA,NA,NA,NA,NA
"Japan",1994,1,1,2,0.5,0.5
"China",1994,7,2,9,0.777777777777778,0.222222222222222
"Europe",1994,10,4,14,0.714285714285714,0.285714285714286
"Australia",1994,3,0,3,1,0
"United States",1994,22,1,23,0.956521739130435,0.0434782608695652
"New Zealand",1994,3,0,3,1,0
"Japan",1995,3,0,3,1,0
"China",1995,7,3,10,0.7,0.3
"Europe",1995,7,0,7,1,0
"Australia",1995,1,0,1,1,0
"United States",1995,16,0,16,1,0
"New Zealand",1995,1,0,1,1,0
"Japan",1996,3,0,3,1,0
"China",1996,1,13,14,0.0714285714285714,0.928571428571429
"Europe",1996,13,0,13,1,0
"Australia",1996,1,0,1,1,0
"United States",1996,14,0,14,1,0
"New Zealand",1996,1,0,1,1,0
"Japan",1997,5,28,33,0.151515151515152,0.848484848484849
"China",1997,5,3,8,0.625,0.375
"Europe",1997,8,0,8,1,0
"Australia",1997,3,0,3,1,0
"United States",1997,5,0,5,1,0
"New Zealand",1997,3,0,3,1,0
"Japan",1998,6,5,11,0.545454545454545,0.454545454545455
"China",1998,1,0,1,1,0
"Europe",1998,17,0,17,1,0
"Australia",1998,NA,NA,NA,NA,NA
"United States",1998,24,0,24,1,0
"New Zealand",1998,NA,NA,NA,NA,NA
"Japan",1999,13,2,15,0.866666666666667,0.133333333333333
"China",1999,6,4,10,0.6,0.4
"Europe",1999,6,0,6,1,0
"Australia",1999,14,0,14,1,0
"United States",1999,25,0,25,1,0
"New Zealand",1999,14,0,14,1,0
